10/24/1909	4DEE 2A97 -
11/ 8/1909	4DEE 2AA3  
11/21/1909	 18E 2AA3  
11/23/1909	 18E 2AA4 -
11/27/1909	 18E 2AA4  
12/ 6/1909	 18E 2AD0  
12/16/1909	 18E 2AD0 +
12/22/1909	 18E 2AD1  
 1/ 4/1910	 18E 2AD1 +
 1/16/1910	 18E 2ADJ +
 1/21/1910	 18E 2ADL  
 1/23/1910	 84E 2ADL  
 1/29/1910	 84E 2AD2  
 1/31/1910	 84E 2AD2 -
 2/16/1910	 84E 2AD2  
 2/20/1910	 84E 2AD3 -
 3/12/1910	 84E 2AD3  
 3/14/1910	 P0E 2AD3  
 3/22/1910	 P0E 2AA8 +
 3/29/1910	 P0E 2AA8  
 4/ 5/1910	 P0E 2AD4  
 4/13/1910	 P0E 2AD4 +
 4/21/1910	 P0E 2AD5  
 5/ 1/1910	 P0E 2AD5 +
 5/ 2/1910	15EE 2AD5 +
 5/ 7/1910	15EE 2A31 +
 5/17/1910	15EJ 2A31 +
 5/22/1910	15EJ 2A32  
 6/ 2/1910	15EJ 2A32 -
 6/ 4/1910	15EJ 2A3L -
 6/12/1910	15EJ 2A3L  
 6/19/1910	1E8J 2A3L  
 6/22/1910	1E8J 2A3P -
 6/30/1910	1E8J 2A4D -
 7/ 7/1910	1E8J 2A4D  
 7/22/1910	1E8J 2A4D +
 7/24/1910	1E8J 2A4E  
 7/25/1910	1E8J 2A58  
 8/ 6/1910	234J 2A58 +
 8/19/1910	234J 2A64 +
 8/24/1910	234J 2A65  
 8/27/1910	234J 2A65 +
 9/13/1910	234J 2A71 +
 9/22/1910	2A0J 2A71 +
 9/24/1910	2A0J 2A72  
 9/29/1910	2A0J 2A72 -
10/ 7/1910	2A0J 2A7L -
10/12/1910	2A0J 2A7L  
10/24/1910	2A0J 2A7P -
10/31/1910	2A0J 2A8D -
11/ 1/1910	2A0J 2A8D  
11/ 7/1910	30EJ 2A8D  
11/12/1910	30EJ 314D  
11/19/1910	30EJ 314D +
11/23/1910	30EJ 314E  
11/24/1910	30EJ 3158  
12/ 9/1910	30EJ 3158 +
12/15/1910	30EE 3158 +
12/18/1910	30EE 3164 +
12/21/1910	378E 3164 +
12/23/1910	378E 3165  
 1/11/1911	378E 3171  
 1/20/1911	378J 3171  
 1/21/1911	378J 3172 -
 2/ 1/1911	3L4J 3172 -
 2/ 4/1911	3L4J 317L -
 2/13/1911	3L4J 317L  
 2/20/1911	3L4J 317P -
 2/28/1911	3L4J 30PD -
 3/ 5/1911	3L4J 30PD  
 3/14/1911	450J 30PD  
 3/21/1911	450J 30PD -
 3/22/1911	450J 30P0  
 3/24/1911	450J 30PE  
 4/ 5/1911	450J 30PE +
 4/18/1911	450J 3108 +
 4/21/1911	450J 3109  
 4/23/1911	4DEJ 3109  
 5/13/1911	4DEJ 3115  
 5/22/1911	4DEJ 3116 -
 6/ 3/1911	 18J 3116 -
 6/ 9/1911	 18J 3122 -
 6/13/1911	 18J 3122  
 6/23/1911	 18J 3123 -
 6/29/1911	 18J 3123  
 7/ 8/1911	 18J 312P  
 7/13/1911	 18J 312P +
 7/16/1911	 84J 312P +
 7/24/1911	 84J 3130  
 7/31/1911	 84J 3130 +
 8/24/1911	 84J 3131  
 9/ 6/1911	 P0J 3131  
 9/24/1911	 P0J 3132 -
10/ 7/1911	 P0J 3132  
10/24/1911	 P0J 3132 +
10/25/1911	 P0J 3133  
11/ 9/1911	 P0J 313P  
11/12/1911	 P0J 313P +
11/23/1911	 P0J 3140  
11/30/1911	 84J 3140  
12/ 3/1911	 84J 3140 +
12/ 9/1911	 84J 314E +
12/10/1911	 84J 380E +
12/23/1911	 84J 380J  
12/28/1911	 84J 380J -
 1/ 5/1912	 84J 3819 -
 1/15/1912	 84J 3819  
 1/21/1912	 84J 381A -
 1/30/1912	 84J 3826 -
 1/31/1912	 P19 3826 -
 2/ 7/1912	 P19 3826  
 2/20/1912	 P19 3827 -
 2/24/1912	 P19 3833 -
 2/25/1912	 P19 3833  
 3/12/1912	 P19 3833 -
 3/19/1912	 P19 383P -
 3/21/1912	 P19 3834  
 4/ 5/1912	15J9 3834  
 4/13/1912	15J9 37D0  
 4/20/1912	15J9 37D1 -
 5/ 7/1912	15J9 37DJ -
 5/17/1912	15J9 37DJ  
 5/21/1912	15J9 37DL -
 5/28/1912	1E99 37DL -
 6/ 1/1912	1E99 37EA -
 6/ 5/1912	1E99 37EA  
 6/19/1912	1E99 37EA +
 6/22/1912	1E99 37ED  
 6/25/1912	1E99 37J7  
 7/ 4/1912	1E99 37J7 +
