 1/ 1/1979	42D9 1PJJ -
 9/23/1981	1J9A 2J5A  
 9/25/1981	1L2A 2J5A  
 9/27/1981	1L2A 2J5A +
 9/28/1981	1LDA 2J5A +
 9/30/1981	1P4A 2J5A +
10/ 3/1981	1PJA 2J5A +
10/ 5/1981	206A 2J5A +
10/ 8/1981	20PA 2J5A +
10/ 9/1981	20PA 2J66 +
10/10/1981	218A 2J66 +
10/12/1981	1D5A 2J66 +
10/14/1981	1DLA 2J66  
10/16/1981	1E7A 2J66  
10/18/1981	1J0A 2J66  
10/20/1981	1J9A 2J66  
10/21/1981	245A 2J66  
10/23/1981	24LA 2J66  
10/24/1981	24LA 2J67 -
10/25/1981	257A 2J67 -
10/27/1981	260A 2J67 -
10/30/1981	269A 2J67 -
11/ 2/1981	272A 2J67 -
11/ 4/1981	27DA 2J67 -
11/ 6/1981	284A 2J73 -
11/ 9/1981	221A 2J73 -
11/10/1981	221A 2J73  
11/11/1981	22AA 2J73  
11/13/1981	233A 2J73  
11/15/1981	23EA 2J73  
11/17/1981	2466 2J73  
11/19/1981	24P6 2J73  
11/21/1981	2586 2J73  
11/22/1981	2586 2J74 -
11/24/1981	2616 2J74 -
11/26/1981	26A6 2J74 -
11/27/1981	26A6 3434 -
11/29/1981	2736 3434  
12/ 1/1981	27E6 3434  
12/ 4/1981	2856 3434  
12/ 6/1981	2226 3434  
12/ 8/1981	22D6 3434  
12/ 9/1981	22D6 3440  
12/10/1981	2346 3440  
12/12/1981	23J6 3440  
12/14/1981	2466 3440  
12/16/1981	2DD6 3440  
12/18/1981	2DD6 3440 +
12/19/1981	2E46 3440 +
12/21/1981	2EJ6 3440 +
12/22/1981	2EJ6 3441  
12/24/1981	2J66 3441  
12/26/1981	2JP6 3441  
12/29/1981	2L86 3441  
12/31/1981	2P16 3441  
 1/ 2/1982	28L6 3441  
 1/ 4/1982	2976 3441  
 1/ 6/1982	2976 3441 +
 1/ 7/1982	2A06 3441 +
 1/ 9/1982	2A96 3441 +
 1/11/1982	2D26 3441 +
 1/13/1982	2DD6 3441 +
 1/15/1982	2E46 3441 +
 1/17/1982	2EJ6 3441 +
 1/20/1982	2J66 3442  
 1/22/1982	2JP6 3442  
 1/23/1982	2JP6 3436  
 1/25/1982	2L86 3436  
 1/27/1982	2P16 3436  
 1/29/1982	28L6 3436  
 2/ 1/1982	2976 3436  
 2/ 3/1982	2A06 3436  
 2/ 5/1982	2A96 3436  
 2/ 7/1982	2D26 3436  
 2/ 9/1982	2DD6 3436  
 2/11/1982	2E46 3436  
 2/14/1982	2EJ6 3436  
 2/16/1982	2J66 3436  
 2/19/1982	2JP6 3437 -
 2/21/1982	2L86 3437 -
 2/24/1982	2P16 3437 -
 2/26/1982	28L6 3437 -
 2/28/1982	2976 3437 -
 3/ 2/1982	2A06 3443 -
 3/ 4/1982	2A96 3443 -
 3/ 6/1982	2D26 3443 -
 3/ 8/1982	2DD6 3443 -
 3/11/1982	2E46 3443 -
 3/13/1982	2EJ6 3443 -
 3/14/1982	2EJ6 3443  
 3/15/1982	2J66 3443  
 3/18/1982	2JP6 3443  
 3/20/1982	2L86 3443  
 3/21/1982	2L86 3438 -
 3/23/1982	2P16 3438 -
 3/25/1982	28L6 3438 -
 3/27/1982	2976 3438 -
 3/29/1982	2A06 3438 -
 3/31/1982	2A96 3438 -
 4/ 1/1982	2A96 3438  
 4/ 3/1982	2D26 3438  
 4/ 5/1982	2DD6 3438  
 4/ 7/1982	2E46 3444  
 4/ 9/1982	2EJ6 3444  
 4/12/1982	2J66 3444  
 4/14/1982	2JP6 3444  
 4/16/1982	2JP6 3444 +
 4/17/1982	2L86 3444 +
 4/19/1982	2P16 3444 +
 4/20/1982	2P16 3445  
 4/22/1982	28L6 3445  
 4/24/1982	2976 3445  
 4/26/1982	2A06 3445  
 4/28/1982	2A96 3445  
 4/30/1982	2D26 3445  
 5/ 2/1982	2DD6 3445 +
 5/ 4/1982	2E46 3445 +
 5/ 5/1982	2E46 33E1 +
 5/ 7/1982	2EJ6 33E1 +
 5/ 9/1982	2J66 33E1 +
 5/12/1982	2JP6 33E1 +
 5/14/1982	2L86 33E1 +
 5/17/1982	2P16 33E1 +
 5/19/1982	28L6 33E1 +
 5/21/1982	2976 33E2  
 5/23/1982	2A06 33E2  
 5/25/1982	2A96 33E2  
 5/27/1982	2D26 33E2  
 5/29/1982	2DD6 33E2  
 5/31/1982	2DD6 33EL  
 6/ 1/1982	2E46 33EL  
 6/ 3/1982	2EJ6 33EL  
 6/ 5/1982	2J66 33EL  
 6/ 8/1982	2JP6 33EL  
 6/10/1982	2L86 33EL  
 6/13/1982	2P16 33EL  
 6/15/1982	28L6 33EL  
 6/17/1982	2976 33EL  
 6/20/1982	2A06 33EL  
 6/22/1982	2A96 33EP -
 6/23/1982	2D26 33EP -
 6/26/1982	2DD6 33JD -
 6/28/1982	2E46 33JD -
 6/30/1982	2EJ6 33JD -
 7/ 3/1982	2J66 33JD -
 7/ 5/1982	2JP6 33JD -
 7/ 8/1982	2L86 33JD -
 7/ 9/1982	2L86 33JD  
 7/10/1982	2P16 33JD  
 7/13/1982	28L6 33JD  
 7/15/1982	2976 33JD  
 7/17/1982	2A06 33JD  
 7/19/1982	2A96 33JD  
 7/21/1982	2D26 33L7  
 7/23/1982	2DD6 33L8 -
 7/24/1982	2DD6 33L8  
 7/25/1982	2E46 33L8  
 7/27/1982	2EJ6 33L8  
 7/30/1982	2J66 33L8  
 8/ 1/1982	2JP6 33L8  
 8/ 3/1982	34D6 33L8  
 8/ 4/1982	3546 33L8  
 8/ 6/1982	35J6 33L8  
 8/ 9/1982	2PA6 33L8 +
 8/11/1982	3036 33L8 +
 8/13/1982	30E6 33L8 +
 8/14/1982	30E6 33P4 +
 8/15/1982	3156 33P4 +
 8/17/1982	31L6 33P4 +
 8/19/1982	3276 33P4 +
 8/22/1982	3306 33P4 +
 8/23/1982	3306 33P5  
 8/24/1982	3396 33P5  
 8/26/1982	3426 33P5  
 8/28/1982	3426 33P5 +
 8/29/1982	34D6 33P5 +
 8/31/1982	3546 33P5 +
 9/ 3/1982	35J6 33P5 +
 9/ 5/1982	2PA6 33P5 +
 9/ 7/1982	3036 33P5 +
 9/ 8/1982	3036 3401 +
 9/ 9/1982	30E6 3401 +
 9/12/1982	3156 3401 +
 9/14/1982	31L6 3401 +
 9/16/1982	3276 3401 +
 9/18/1982	3306 3401 +
 9/20/1982	3A56 3401 +
 9/23/1982	3AL6 3402  
 9/25/1982	3D76 3402  
 9/28/1982	3E06 3402  
 9/30/1982	3E96 3402  
10/ 2/1982	3666 340L  
10/ 5/1982	36P6 340L  
10/ 7/1982	3786 340L  
10/ 9/1982	3816 340L  
10/11/1982	38A6 340L  
10/13/1982	3936 340L  
10/15/1982	39E6 340L  
10/18/1982	3A56 340L  
10/20/1982	3AL6 340L  
10/22/1982	3D76 340L  
10/24/1982	3D76 340P -
10/25/1982	3E06 340P -
10/26/1982	3E06 341D -
10/27/1982	3E96 341D -
10/30/1982	3666 341D -
11/ 1/1982	3JD6 341D -
11/ 3/1982	3L46 341D  
11/ 5/1982	3LJ6 341D  
11/ 7/1982	3P66 341D  
11/ 9/1982	3PP6 341D  
11/12/1982	4086 341D  
11/14/1982	4116 341D  
11/16/1982	41A6 341D  
11/19/1982	4236 3427  
11/21/1982	42E6 3427  
11/22/1982	42E6 3427 +
11/23/1982	42E6 3428  
11/24/1982	4356 3428  
11/26/1982	3J26 3428  
11/28/1982	3JD6 3428  
11/29/1982	3JD7 3428  
11/30/1982	3L47 3428  
12/ 2/1982	3LJ7 3428  
12/ 4/1982	3P67 3428  
12/ 7/1982	3PP7 3428  
12/ 9/1982	4087 3428  
12/10/1982	4747 3428  
12/11/1982	47J7 3428 +
12/13/1982	4867 3434 +
12/16/1982	48P7 3434 +
12/19/1982	4987 3434 +
12/21/1982	4A17 3434 +
12/22/1982	4A17 3435  
12/23/1982	43L7 3435  
12/26/1982	4477 3AP5  
12/28/1982	4507 3AP5  
12/30/1982	4597 3AP5  
 1/ 1/1983	4627 3AP5  
 1/ 2/1983	4627 3AP5 +
 1/ 3/1983	46D7 3AP5 +
 1/ 5/1983	4747 3AP5 +
 1/ 6/1983	4747 3D01 +
 1/ 7/1983	47J7 3D01 +
 1/10/1983	4867 3D01 +
 1/12/1983	48P7 3D01  
 1/15/1983	4987 3D01  
 1/17/1983	4A17 3D01  
 1/18/1983	50J7 3D01  
 1/20/1983	4AA7 3D01  
 1/21/1983	4AA7 3D02 -
 1/22/1983	4D37 3D02 -
 1/24/1983	4DE7 3D02 -
 1/26/1983	4E57 3D02 -
 1/28/1983	4EL7 3D02 -
 1/30/1983	4J77 3D0L -
 2/ 1/1983	4L07 3D0L -
 2/ 4/1983	4L97 3D0L -
 2/ 6/1983	4P27 3D0L -
 2/ 8/1983	4PD7 3D0L -
 2/11/1983	5047 3D0L -
 2/14/1983	50J7 3D0L  
 2/16/1983	4AA7 3D0L  
 2/18/1983	4D37 3D0L  
 2/19/1983	4D37 3D0P -
 2/21/1983	4DE7 3D0P -
 2/23/1983	4E57 3A8D -
 2/25/1983	02A7 3A8D -
 2/27/1983	0337 3A8D -
 3/ 1/1983	03E7 3A8D -
 3/ 3/1983	0457 3A8D -
 3/ 5/1983	04L7 3A8D -
 3/ 7/1983	04L7 3A8D  
 3/ 8/1983	0577 3A8D  
 3/10/1983	0607 3A8D  
 3/13/1983	0697 3A8D  
 3/15/1983	0067 3A8D  
 3/18/1983	00P7 3A8D  
 3/19/1983	00P7 3A97  
 3/20/1983	0187 3A97  
 3/21/1983	0187 3A8E -
 3/22/1983	0217 3A8E -
 3/24/1983	02A7 3A8E  
 3/26/1983	0337 3A8E  
 3/28/1983	03E7 3A8E  
 3/30/1983	0457 3A8E  
 4/ 2/1983	04L7 3A8E  
 4/ 4/1983	0577 3A8E  
 4/ 6/1983	0E37 3A8E  
 4/ 7/1983	0EE7 3A8E  
 4/ 8/1983	0EE7 3A8E +
 4/ 9/1983	0J57 3A8E +
